#{"t_start": 1753871221.667517, "env_id": "None"}
r,l,t
-2.0,20,3.204468
-11.2,13,3.208276
-2.0,20,3.214895
-2.0,20,3.221615
-2.0,20,3.22831
-2.0,20,3.235023
-2.0,20,3.241612
-2.0,20,3.248174
-2.0,20,3.254798
-10.0,1,3.255885
-2.0,20,3.262364
-2.0,20,3.268908
-2.0,20,3.275494
-10.1,2,3.275889
-10.1,2,3.276217
-10.2,3,3.277554
-11.8,19,3.283892
-2.0,20,3.290382
-2.0,20,3.296934
-2.0,20,3.303585
-2.0,20,3.310132
-11.1,12,3.31375
-2.0,20,3.320282
-2.0,20,3.326967
-2.0,20,3.333568
-11.1,12,3.338064
-2.0,20,3.345836
-2.0,20,3.353259
-2.0,20,3.360122
-2.0,20,3.367063
-10.0,1,3.367327
-10.0,1,3.367509
-10.3,4,3.369015
-10.0,1,3.36919
-10.1,2,3.369508
-2.0,20,3.376059
-2.0,20,3.382719
-2.0,20,3.389266
-2.0,20,3.395805
-2.0,20,3.402582
-2.0,20,3.409106
-2.0,20,3.415727
-2.0,20,3.422276
-2.0,20,3.428792
-2.0,20,3.435436
-2.0,20,3.442067
-2.0,20,3.448719
-10.5,6,3.451507
-10.9,10,3.454804
-10.6,7,3.456779
-2.0,20,3.463235
-2.0,20,3.469838
-2.0,20,3.47636
-10.4,5,3.478056
-10.1,2,3.478374
-2.0,20,3.484924
-2.0,20,3.491679
-2.0,20,3.498229
-2.0,20,3.504803
-10.8,9,3.507942
-10.4,5,3.509578
-10.1,2,3.511877
-2.0,20,3.519231
-2.0,20,3.525926
-2.0,20,3.532889
-2.0,20,3.539585
-10.2,3,3.540134
-2.0,20,3.546611
-2.0,20,3.553315
-2.0,20,3.559871
-2.0,20,3.566472
-2.9,20,3.573145
-2.0,20,3.579752
-2.0,20,3.586368
-11.3,14,3.591123
-2.0,20,3.597552
-2.0,20,3.604113
-11.3,14,3.608928
-2.0,20,3.615425
-11.4,15,3.620332
-10.4,5,3.621966
-10.5,6,3.62375
-11.4,15,3.628594
-10.3,4,3.630076
-10.0,1,3.630254
-2.0,20,3.636915
-10.1,2,3.637307
-2.0,20,3.643834
-2.0,20,3.650605
-2.0,20,3.657297
-2.0,20,3.663837
-2.0,20,3.670431
-2.0,20,3.676961
-2.0,20,3.685369
-10.7,8,3.688647
-11.0,11,3.692353
-10.4,5,3.694048
-10.7,8,3.697018
-10.2,3,3.697505
-2.0,20,3.7043
-2.0,20,3.710867
-2.0,20,3.717492
-11.4,15,3.722538
-2.0,20,3.728996
-10.2,3,3.730394
-2.0,20,3.736973
-2.9,20,3.74351
-2.0,20,3.750237
-2.0,20,3.756812
-2.0,20,3.763367
-2.0,20,3.769984
-2.0,20,3.776553
-2.0,20,3.783107
-2.0,20,3.789618
-2.0,20,3.796123
-2.0,20,3.802666
-2.0,20,3.80919
-2.9,20,3.815785
-10.4,5,3.817505
-2.0,20,3.823924
-2.0,20,3.830747
