#{"t_start": 1753900099.014961, "env_id": "None"}
r,l,t
-10.4,5,4.820803
9.2,9,4.822132
8.1,11,4.82374
6.1,12,4.825491
7.1,11,4.8271
8.3,9,4.828412
7.1,12,4.830168
-12.6,8,4.831361
9.1,10,4.832818
9.0,11,4.834426
4.8,15,4.836608
-12.2,4,4.837207
4.6,18,4.839812
5.9,15,4.841977
6.5,6,4.842874
-17.0,15,4.845052
-10.7,8,4.846221
-14.2,15,4.8484
8.2,10,4.849869
1.7,19,4.852625
-5.3,5,4.853369
7.0,12,4.855124
4.3,11,4.856737
-10.0,1,4.856903
7.0,12,4.85865
6.9,13,4.860549
-10.1,2,4.860862
-13.7,19,4.86363
-11.5,7,4.864873
5.7,16,4.867378
8.0,12,4.869207
7.5,17,4.871769
9.2,9,4.873132
4.2,12,4.874951
6.9,14,4.877063
-11.0,2,4.877386
8.9,17,4.879941
8.3,9,4.881473
-10.7,8,4.882717
8.8,13,4.884677
6.8,15,4.88691
