#{"t_start": 1753948336.807643, "env_id": "None"}
r,l,t
-13.4,8,2.744687
-12.9,11,2.746524
-4.8,20,2.750485
-7.6,20,2.754851
-12.2,4,2.755763
-10.0,1,2.756472
-10.0,1,2.757123
6.9,2,2.757217
-6.7,20,2.761396
-10.3,20,2.765465
-10.4,20,2.769652
-11.5,7,2.771543
-13.2,20,2.775747
-4.8,20,2.779427
-9.5,20,2.783766
4.8,5,2.784697
-16.3,17,2.789879
-7.7,20,2.794908
3.0,14,2.797359
-10.1,2,2.798258
-3.8,20,2.802476
2.9,4,2.803289
-10.1,2,2.803466
-10.0,1,2.803589
-10.0,1,2.804732
6.8,3,2.805039
-12.9,12,2.808708
-9.4,20,2.813262
-16.2,20,2.817408
-8.6,20,2.821872
-8.5,20,2.826236
-4.8,20,2.830386
-15.3,7,2.831765
-10.1,2,2.832443
-11.4,20,2.836506
-5.7,20,2.840697
-6.6,20,2.845303
-8.5,20,2.849552
-19.9,15,2.852141
-16.5,19,2.856466
-2.5,20,2.860362
-14.3,16,2.863654
-12.6,8,2.865216
-10.1,2,2.8659
-10.4,5,2.866765
-10.2,3,2.86744
-11.5,7,2.869065
-12.6,8,2.871026
-12.2,4,2.872028
-12.7,9,2.874409
-6.7,20,2.878925
-12.3,20,2.882819
3.1,13,2.885242
6.3,20,2.889457
-3.8,20,2.893524
7.5,17,2.896605
-8.6,20,2.901267
2.1,13,2.903766
2.7,18,2.907962
4.8,4,2.908744
-11.4,20,2.912615
7.0,1,2.912679
-10.0,1,2.912732
-3.8,20,2.916481
2.2,11,2.918621
-7.6,20,2.922982
-10.2,3,2.924414
6.5,6,2.925419
6.3,19,2.930131
-2.9,20,2.934272
-8.3,20,2.939103
-10.5,20,2.943057
4.9,15,2.946187
-10.3,4,2.946956
-10.0,1,2.947011
7.7,15,2.95014
-17.7,13,2.95313
-10.2,3,2.954019
3.9,15,2.957383
5.0,2,2.957504
-3.2,7,2.959101
-12.2,4,2.959934
-10.1,2,2.960086
-10.1,2,2.960802
-6.7,10,2.962548
-10.1,2,2.963209
-10.0,1,2.963858
-7.6,20,2.967653
-10.1,2,2.968315
-10.0,1,2.968374
-11.1,3,2.969129
4.7,16,2.972949
-4.7,20,2.976875
1.7,18,2.980089
5.9,14,2.983226
0.7,17,2.986276
-10.8,9,2.989099
-10.3,4,2.990134
-12.3,5,2.991068
7.9,13,2.994144
8.0,17,2.997452
-12.6,9,2.999179
8.1,11,3.001577
-9.5,20,3.006038
5.0,15,3.009107
-4.8,20,3.012821
3.4,20,3.017286
-10.0,1,3.017355
-10.0,1,3.01741
-6.7,20,3.021686
-10.4,20,3.025541
-8.5,20,3.029295
-5.7,20,3.033221
-12.3,20,3.037258
3.6,18,3.041221
-7.6,20,3.04496
3.9,15,3.048201
4.7,17,3.052323
-10.6,7,3.053288
-15.9,14,3.056777
-8.2,16,3.059924
-6.7,20,3.063928
-3.8,20,3.067699
3.3,10,3.069208
4.3,11,3.07172
-10.1,2,3.072392
-2.2,19,3.076429
-10.0,1,3.077086
-8.6,20,3.081425
-4.8,20,3.085671
-10.0,1,3.085799
-10.3,4,3.086703
-12.7,9,3.089138
-10.1,2,3.089914
-10.2,3,3.090157
-14.2,15,3.093278
-10.1,2,3.094663
-10.6,7,3.095788
2.3,20,3.099807
-10.7,8,3.101553
0.3,20,3.106184
-10.4,5,3.107753
1.4,20,3.111822
-8.5,20,3.115718
-11.4,20,3.119149
1.3,20,3.123476
4.1,13,3.126837
-10.4,20,3.131
-10.5,6,3.132095
-10.5,6,3.133814
-7.0,13,3.136461
-11.1,3,3.137271
6.3,20,3.141906
-6.6,20,3.145931
-20.3,20,3.149753
-8.5,20,3.15364
-13.3,20,3.158624
8.9,12,3.161466
-9.4,20,3.16583
-15.0,14,3.168396
3.6,19,3.172733
-10.1,2,3.173522
7.0,12,3.175995
-10.0,1,3.17606
2.2,20,3.179924
-10.0,1,3.17998
-10.3,4,3.181477
4.9,15,3.184789
-11.1,3,3.185733
-7.6,20,3.190324
-10.1,2,3.190505
-10.0,1,3.190559
-10.2,3,3.191316
-10.4,5,3.192258
8.0,12,3.194633
6.8,14,3.197893
9.3,8,3.200137
7.0,13,3.202836
3.1,14,3.206321
5.7,16,3.209468
-12.3,20,3.213353
4.1,13,3.215714
5.1,12,3.218257
-10.5,20,3.222389
-10.6,7,3.223765
-10.0,1,3.223825
5.1,12,3.227029
-1.1,17,3.230339
-14.4,7,3.232079
-9.5,20,3.236072
3.9,14,3.239307
-12.2,20,3.243167
-11.5,7,3.244561
-13.5,9,3.246128
-7.7,10,3.248482
-10.0,1,3.248598
-10.1,2,3.249769
-0.3,20,3.253873
8.1,11,3.256256
7.1,11,3.258758
9.8,16,3.262085
-13.6,9,3.264069
-15.6,10,3.266401
5.2,12,3.268925
-18.2,17,3.272603
-10.5,6,3.274357
-12.4,6,3.275928
-6.6,20,3.279997
-3.9,20,3.284042
6.2,11,3.286591
5.1,12,3.289716
7.0,1,3.289797
-5.3,5,3.290761
-10.1,2,3.291516
-6.7,20,3.295193
-10.0,1,3.295247
5.2,12,3.29838
9.1,10,3.300988
6.3,10,3.303075
-9.4,20,3.307998
-10.1,2,3.308799
-0.1,4,3.309672
7.0,1,3.30973
-10.8,9,3.311551
-10.3,4,3.312318
-13.0,13,3.314747
6.0,13,3.318409
-12.7,9,3.320148
4.9,14,3.323515
5.6,17,3.327254
9.3,8,3.329113
2.1,13,3.331461
7.0,13,3.334013
-10.4,5,3.334736
-11.1,3,3.335521
-10.0,1,3.335633
-10.0,1,3.336884
-10.1,2,3.337089
-10.0,1,3.337155
5.0,13,3.34114
-7.3,6,3.34211
-8.5,20,3.346367
-10.2,3,3.347037
9.3,8,3.348879
2.2,13,3.351446
19.3,10,3.353875
9.1,10,3.356836
-10.3,4,3.357727
-10.5,6,3.359277
-0.2,18,3.363273
-13.5,8,3.364955
6.6,5,3.365852
-9.4,20,3.370206
-10.4,5,3.372168
-6.7,20,3.376534
-10.4,5,3.377464
0.7,19,3.382072
-5.7,20,3.386244
2.8,5,3.387138
-14.1,14,3.390379
9.1,10,3.392734
6.8,15,3.395961
-10.0,1,3.396026
-10.0,1,3.396077
-10.0,1,3.396124
-10.0,1,3.396728
3.1,12,3.399922
-2.9,17,3.403201
-13.2,14,3.406553
-14.6,10,3.408863
7.0,13,3.411308
2.8,17,3.414521
2.3,11,3.416942
5.6,18,3.420913
0.2,12,3.423583
-13.4,20,3.42721
-10.0,1,3.427758
-10.1,2,3.42785
-10.1,2,3.42853
9.2,9,3.430468
6.8,14,3.433596
9.0,11,3.435676
5.6,17,3.440035
5.3,9,3.441886
-13.4,7,3.443385
-14.1,18,3.446488
-10.3,4,3.448118
4.8,4,3.44896
-10.2,3,3.449702
9.3,8,3.451587
6.0,13,3.454586
8.1,11,3.457389
-6.6,20,3.461527
7.7,15,3.46471
-13.4,7,3.465696
-10.1,2,3.466444
7.7,15,3.47018
4.1,14,3.473566
4.0,13,3.476063
-9.8,12,3.478731
1.7,20,3.482584
7.3,9,3.484919
5.9,15,3.487709
5.8,4,3.488755
-4.8,20,3.492717
-14.6,9,3.494941
0.3,20,3.499423
-10.0,1,3.499493
-10.0,1,3.499548
-8.3,7,3.501169
-10.3,4,3.502122
-10.0,1,3.502183
4.8,16,3.506207
7.0,12,3.508712
5.6,6,3.510183
6.4,20,3.514008
-14.4,7,3.515644
3.6,18,3.519885
-14.2,5,3.520874
-10.1,2,3.521846
11.7,20,3.526297
-10.2,3,3.526574
1.8,17,3.530491
-11.2,4,3.531375
-11.5,7,3.532342
7.3,9,3.534734
5.7,17,3.539095
-10.1,2,3.539209
-10.0,1,3.539901
-10.0,1,3.539971
-10.4,5,3.540968
4.1,14,3.544272
-14.2,5,3.545196
-14.0,13,3.547603
-12.1,3,3.548363
-5.8,20,3.55209
5.0,2,3.552673
6.8,15,3.556236
8.2,10,3.55878
-10.2,3,3.55899
-10.0,1,3.559668
7.3,9,3.561547
7.0,1,3.561608
-10.0,1,3.56172
7.0,1,3.56235
12.8,19,3.565728
-7.6,20,3.570187
7.3,10,3.573196
-3.2,18,3.576636
4.0,14,3.579838
9.1,10,3.582004
7.2,11,3.584405
7.3,9,3.586099
5.0,14,3.589764
-16.9,14,3.592245
9.8,16,3.595615
3.6,18,3.600407
5.3,11,3.603253
-5.0,20,3.607682
4.8,15,3.610223
9.3,8,3.611971
2.9,15,3.615015
-10.0,1,3.615069
8.6,20,3.619088
14.3,9,3.62184
-11.5,20,3.625864
-15.7,11,3.628053
6.7,4,3.628884
2.6,7,3.630549
6.8,3,3.631357
4.3,10,3.633369
-12.6,8,3.635326
-10.8,9,3.637879
-10.0,1,3.63804
-10.1,2,3.638242
1.1,15,3.641546
4.1,13,3.644773
-5.2,4,3.645549
5.1,13,3.648796
-0.1,17,3.652414
-10.0,1,3.652536
6.7,4,3.653335
-10.2,3,3.654511
-10.0,1,3.654698
4.6,18,3.65896
6.9,13,3.661528
-16.3,18,3.665583
8.9,12,3.668355
-11.6,17,3.672852
-10.5,6,3.673871
6.7,4,3.674834
-10.0,1,3.67495
-8.5,20,3.678932
-5.7,20,3.682891
-6.7,20,3.686887
7.0,16,3.690472
-6.2,5,3.692832
-13.1,13,3.695411
9.0,11,3.698103
9.3,12,3.70064
-10.0,1,3.700704
7.1,11,3.703288
7.1,12,3.706485
9.3,8,3.70823
7.3,10,3.710106
6.5,6,3.711717
-10.5,20,3.71636
-8.5,20,3.720548
5.0,13,3.723387
7.2,11,3.725997
7.0,1,3.726061
